Rk,Player,Pos,Squad,Federation,Gls,Sh,G/Sh
2,Thelo Aasgaard,MF,no Norway,UEFA,1,2,0.5
17,Ché Adams,FW,sct Scotland,UEFA,0,1,0
24,Michel Aebischer,MFFW,ch Switzerland,UEFA,0,2,0
27,Rodrigo Aguirre,FW,uy Uruguay,CONMEBOL,0,0,
31,Kristoffer Ajer,DF,no Norway,UEFA,0,2,0
32,Manuel Akanji,DF,ch Switzerland,UEFA,0,1,0
33,Nathan Aké,DF,nl Netherlands,UEFA,0,1,0
34,Yunus Akgün,MF,tr Türkiye,UEFA,0,0,
35,Maghnes Akliouche,MF,fr France,UEFA,0,0,
36,Kerem Aktürkoğlu,FW,tr Türkiye,UEFA,0,3,0
38,David Alaba,DF,at Austria,UEFA,0,2,0
39,Kerim Alajbegović,MF,ba Bosnia–Herz,UEFA,1,4,0.25
40,Jordy Alcivar,MF,ec Ecuador,CONMEBOL,0,1,0
41,Omar Alderete,DF,py Paraguay,CONMEBOL,0,1,0
45,Taha Ali,FWMF,se Sweden,UEFA,0,0,
48,Alisson,GK,br Brazil,CONMEBOL,0,0,
49,Thiago Almada,MF,ar Argentina,CONMEBOL,0,5,0
50,Miguel Almirón,MFFW,py Paraguay,CONMEBOL,0,4,0
51,Júnior Alonso,DF,py Paraguay,CONMEBOL,0,3,0
52,Barış Alper Yılmaz,MFFW,tr Türkiye,UEFA,1,2,0.5
55,Julián Álvarez,FW,ar Argentina,CONMEBOL,1,11,0.09
57,Zeki Amdouni,FWMF,ch Switzerland,UEFA,0,1,0
59,Nadiem Amiri,MF,de Germany,UEFA,0,2,0
66,Elliot Anderson,MF,eng England,UEFA,0,7,0
68,Fredrik André Bjørkan,DF,no Norway,UEFA,0,0,
69,Nilson Angulo,MF,ec Ecuador,CONMEBOL,1,2,0.5
70,Waldemar Anton,DFMF,de Germany,UEFA,0,1,0
75,Maxi Araújo,FWMF,uy Uruguay,CONMEBOL,2,4,0.5
76,Tomás Araújo,DF,pt Portugal,UEFA,0,0,
78,Álex Arce,FW,py Paraguay,CONMEBOL,0,0,
81,Jhon Arias,MF,co Colombia,CONMEBOL,1,9,0.11
82,Santiago Arias,DF,co Colombia,CONMEBOL,0,0,
83,Marko Arnautović,FW,at Austria,UEFA,2,3,0.67
89,Fredrik Aursnes,MFDF,no Norway,UEFA,0,2,0
90,Gabriel Ávalos,FW,py Paraguay,CONMEBOL,0,1,0
91,Yasin Ayari,MF,se Sweden,UEFA,2,7,0.29
92,Oğuz Aydın,DF,tr Türkiye,UEFA,0,0,
94,Kaan Ayhan,DFMF,tr Türkiye,UEFA,1,1,1
99,Álex Baena,MFFW,es Spain,UEFA,1,12,0.08
100,Esmir Bajraktarevic,MF,ba Bosnia–Herz,UEFA,0,3,0
102,Fabián Balbuena,DF,py Paraguay,CONMEBOL,0,0,
106,Valentín Barco,DFMF,ar Argentina,CONMEBOL,0,0,
107,Bradley Barcola,MF,fr France,UEFA,3,10,0.3
108,Abdülkerim Bardakcı,DF,tr Türkiye,UEFA,0,3,0
109,Ivan Bašić,MF,ba Bosnia–Herz,UEFA,0,4,0
111,Martin Baturina,MFFW,hr Croatia,UEFA,1,3,0.33
113,Samed Baždar,FW,ba Bosnia–Herz,UEFA,0,0,
117,Maximilian Beier,FWMF,de Germany,UEFA,0,0,
123,Jude Bellingham,MF,eng England,UEFA,7,19,0.37
131,Rodrigo Bentancur,MF,uy Uruguay,CONMEBOL,0,4,0
132,Patrick Berg,MF,no Norway,UEFA,0,3,0
133,Sander Berge,MF,no Norway,UEFA,0,0,
134,Lucas Bergvall,MF,se Sweden,UEFA,0,2,0
136,Alexander Bernhardsson,MF,se Sweden,UEFA,0,1,0
139,Damián Bobadilla,MF,py Paraguay,CONMEBOL,0,0,
140,Oscar Bobb,FW,no Norway,UEFA,0,4,0
154,Brian Brobbey,FW,nl Netherlands,UEFA,3,4,0.75
156,Nathaniel Brown,DF,de Germany,UEFA,1,3,0.33
158,Ante Budimir,FW,hr Croatia,UEFA,1,3,0.33
161,Dan Burn,DF,eng England,UEFA,0,0,
162,Dženis Burnić,MF,ba Bosnia–Herz,UEFA,0,1,0
163,Gustavo Caballero,FWMF,py Paraguay,CONMEBOL,0,1,0
166,Juan Cáceres,DF,py Paraguay,CONMEBOL,0,2,0
167,Sebastián Cáceres,DF,uy Uruguay,CONMEBOL,0,3,0
168,Jordy Caicedo,FW,ec Ecuador,CONMEBOL,0,1,0
169,Moisés Caicedo,MF,ec Ecuador,CONMEBOL,0,4,0
170,Uğurcan Çakır,GK,tr Türkiye,UEFA,0,0,
171,Hakan Çalhanoğlu,MF,tr Türkiye,UEFA,0,11,0
173,Jaminton Campaz,FWMF,co Colombia,CONMEBOL,1,6,0.17
174,İrfan Can Kahveci,MF,tr Türkiye,UEFA,0,0,
175,José Canale,DF,py Paraguay,CONMEBOL,0,0,
176,João Cancelo,DF,pt Portugal,UEFA,0,3,0
177,Agustín Canobbio,FW,uy Uruguay,CONMEBOL,1,4,0.25
